residuals (i.e. ||f(x_n)||),differences (i.e. ||x_n-x_{n-1}||),current point (i.e. x_n)
0.5656854249492381,0.0,[1. 1.]
0.07240728184266755,1.0762952755072999,[0.2      1.720008]
0.06951099057128661,0.05119967999462349,[0.2        1.77120768]
0.06673055094845336,0.04915169279962894,[0.2        1.82035937]
0.06406132891053272,0.04718562508765656,[0.2      1.867545]
0.06149887575412818,0.045298200084162854,[0.2       1.9128432]
0.0590389207239792,0.04348627208080802,[0.2        1.95632947]
0.05667736389503549,0.0417468211975871,[0.2        1.99807629]
0.05441026933924894,0.040076948349694774,[0.2        2.03815324]
0.052233858565693216,0.03847387041571748,[0.2        2.07662711]
0.05014450422307917,0.03693491559909878,[0.2        2.11356203]
0.04813872405416916,0.035457518975144264,[0.2        2.14901954]
0.04621317509201503,0.03403921821614775,[0.2        2.18305876]
0.044364648088346524,0.03267764948751095,[0.2        2.21573641]
0.04259006216482432,0.03137054350801893,[0.2        2.24710696]
0.04088645967824251,0.030115721767706383,[0.2        2.27722268]
0.03925100129112353,0.028911092897005997,[0.2        2.30613377]
0.037680961239488886,0.027754649181133573,[0.2        2.33388842]
0.036173722789919205,0.026644463213895353,[0.2        2.36053288]
0.034726773878331924,0.02557868468534652,[0.2        2.38611157]
0.03333770292320776,0.024555537297939356,[0.2       2.4106671]
0.03200419480628818,0.023573315806028283,[0.2        2.43424042]
0.030724027014045037,0.02263038317379351,[0.2       2.4568708]
0.029495065933491285,0.021725167846847526,[0.2        2.47859597]
0.028315263296159385,0.020856161132979167,[0.2        2.49945213]
0.027182652764320414,0.020021914687665898,[0.2        2.51947405]
0.02609534665375472,0.01922103810016429,[0.2        2.53869509]
0.025051532787611384,0.018452196576162816,[0.2        2.55714728]
0.02404947147611348,0.017714108713120957,[0.2        2.57486139]
0.023087492617075243,0.01700554436460111,[0.2        2.59186694]
0.02216399291239829,0.016325322590021063,[0.2        2.60819226]
0.02127743319590816,0.015672309686424857,[0.2        2.62386457]
0.020426335868077405,0.01504541729897202,[0.2        2.63890998]
0.019609282433359666,0.014443600607016993,[0.2        2.65335359]
0.018824911136030416,0.013865856582739866,[0.2        2.66721944]
0.01807191469059413,0.013311222319434268,[0.2        2.68053066]
0.017349038102975105,0.012778773426660006,[0.2        2.69330944]
0.01665507657886065,0.01226762248959723,[0.2        2.70557706]
0.015988873515710572,0.011776917590016645,[0.2        2.71735398]
0.01534931857508633,0.011305840886418839,[0.2        2.72865982]
0.014735345832086912,0.01085360725096507,[0.2        2.73951343]
0.014145931998807303,0.010419462960929327,[0.2        2.74993289]
0.013580094718858704,0.010002684442494747,[0.2        2.75993557]
0.013036890930107913,0.009602577064797835,[0.2        2.76953815]
0.012515415292907017,0.00921847398220832,[0.2        2.77875662]
0.012014798681194023,0.00884973502292219,[0.2        2.78760636]
0.011534206733949417,0.008495745622007611,[0.2        2.79610211]
0.011072838464594491,0.008155915797129598,[0.2        2.80425802]
0.010629924926013598,0.007829679165246795,[0.2       2.8120877]
0.010204727928975834,0.007516491998639019,[0.2        2.81960419]
0.00979653881181947,0.00721583231869527,[0.2        2.82682002]
0.00940467725934928,0.006927199025949182,[0.2        2.83374722]
0.009028490168977762,0.006650111064913311,[0.2        2.84039733]
0.008667350562221022,0.006384106622318253,[0.2        2.84678144]
0.008320656539734447,0.006128742357427441,[0.2        2.85291018]
0.00798783027814727,0.005883592663131765,[0.2        2.85879378]
0.007668317067023459,0.005648248956608093,[0.2        2.86444203]
0.0073615843843445475,0.005422318998345332,[0.2        2.86986434]
0.007067121008972694,0.0052054262384126915,[0.2        2.87506977]
0.006784436168615654,0.004997209188877694,[0.2        2.88006698]
0.006513058721872786,0.004797320821324114,[0.2       2.8848643]
0.006252536372999587,0.00460542798847241,[0.2        2.88946973]
0.006002434918081243,0.004421210868934544,[0.2        2.89389094]
0.005762337521359561,0.0042443624341785835,[0.2       2.8981353]
0.005531844020506668,0.004074587936812257,[0.2        2.90220989]
0.005310570259687865,0.003911604419340797,[0.2        2.90612149]
0.00509814744930175,0.003755140242568178,[0.2        2.90987663]
0.004894221551331037,0.0036049346328663745,[0.2        2.91348157]
0.0046984526892790675,0.003460737247552803,[0.2        2.91694231]
0.004510514581709143,0.0033223077576516324,[0.2        2.92026461]
0.004330093998441939,0.003189415447346633,[0.2        2.92345403]
0.004156890238505419,0.0030618388294532117,[0.2        2.92651587]
0.00399061462896629,0.002939365276275918,[0.2        2.92945523]
0.0038309900438086987,0.0028217906652256985,[0.2        2.93227702]
0.0036777504420573573,0.0027089190386173634,[0.2        2.93498594]
0.0035306404243760484,0.0026005622770735037,[0.2        2.93758651]
0.003389414807401919,0.002496539785991292,[0.2        2.94008305]
0.0032538382151067425,0.0023966781945521376,[0.2        2.94247972]
0.0031236846865033314,0.0023008110667706028,[0.2        2.94478053]
0.0029987372990440226,0.002208778624100738,[0.2        2.94698931]
0.002878787807083044,0.002120427479137099,[0.2        2.94910974]
0.0027636362948004916,0.0020356103799721303,[0.2        2.95114535]
0.0026530908430091814,0.0019541859647738136,[0.2        2.95309954]
0.002546967209289525,0.001876018526183465,[0.2        2.95497556]
0.0024450885209186014,0.0018009777851366593,[0.2        2.95677653]
0.0023472849800825085,0.0017289386737315837,[0.2        2.95850547]
0.002253393580879797,0.0016597811267828888,[0.2        2.96016525]
0.0021632578376451963,0.0015933898817119818,[0.2        2.96175864]
0.0020767275241399628,0.0015296542864438045,[0.2       2.9632883]
0.001993658423174929,0.0014684681149863543,[0.2        2.96475677]
0.001913912086248443,0.0014097293903874153,[0.2        2.96616649]
0.0018373556027990086,0.0013533402147722917,[0.2        2.96751983]
0.001763861378687512,0.0012992066061818797,[0.2        2.96881904]
0.0016933069235404855,0.0012472383419348532,[0.2        2.97006628]
0.0016255746465993078,0.0011973488082577255,[0.2        2.97126363]
0.0015605516607357654,0.0011494548559278783,[0.2        2.97241308]
0.0014981295943067186,0.001103476661691083,[0.2        2.97351656]
0.001438204410534861,0.0010593375952234751,[0.2       2.9745759]
0.0013806762341138361,0.0010169640914150513,[0.2        2.97559286]
0.001325449184749661,0.0009762855277584137,[0.2        2.97656915]
0.001272431217359996,0.0009372341066486989,[0.2        2.97750638]
0.0012215339686659438,0.0008997447423828575,[0.2        2.97840613]
0.001172672609919615,0.0008637549526877564,[0.2        2.97926988]
0.00112576570552315,0.0008292047545803705,[0.2        2.98009909]
0.0010807350773025086,0.0007960365643975287,[0.2        2.98089512]
0.0010375056742106979,0.0007641951018215742,[0.2        2.98165932]
0.0009960054472425294,0.0007336272977491731,[0.2        2.98239294]
